date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2021-12-20,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-21,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-22,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-23,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-27,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-28,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-29,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-30,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-31,put_credit_spread,317.88475,0.0,317.88475,2,5256.392303000002
2022-01-03,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-04,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-05,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-06,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-07,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-10,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-11,put_credit_spread,0.0,0.0,0.0,1,5256.392303000002
2022-01-12,put_credit_spread,65.5,0.0,65.5,1,5321.892303000002
2022-01-13,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-14,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-18,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-19,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-20,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-21,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-24,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-25,put_credit_spread,0.0,0.0,0.0,1,5321.892303000002
2022-01-26,put_credit_spread,-4.28675,0.0,-4.28675,2,5317.605553000002
2022-01-27,put_credit_spread,0.0,0.0,0.0,1,5317.605553000002
2022-01-28,put_credit_spread,0.0,0.0,0.0,1,5317.605553000002
2022-01-31,put_credit_spread,232.5,0.0,232.5,1,5550.105553000002
2022-02-01,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-02,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-03,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-04,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-07,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-08,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-09,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-10,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-11,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-14,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-15,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-16,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-17,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-18,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-22,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-23,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-24,put_credit_spread,0.0,0.0,0.0,1,5550.105553000002
2022-02-25,put_credit_spread,171.8635,0.0,171.8635,2,5721.9690530000025
2022-02-28,put_credit_spread,25.5,0.0,25.5,1,5747.4690530000025
2022-03-01,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
2022-03-02,put_credit_spread,0.0,0.0,0.0,1,5747.4690530000025
