run_id,trade_id,strategy,symbol,entry_date,exit_date,entry_dte,entry_expiration,entry_credit,max_risk,exit_reason,realized_pnl,return_on_risk,days_held
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000084,put_credit_spread,DIA,2022-11-30,2022-12-28,30,2022-12-30,2.81,1819.0,ITM_NEAR_EXPIRY_ROLL,-2.1405,-0.001177,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000085,short_straddle,DIA,2022-12-07,2023-01-04,30,2023-01-06,14.275,5301.300049,PRE_EXPIRY_CLOSE,-40.126773,-0.007569,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000086,put_credit_spread,DIA,2022-12-28,2023-01-13,30,2023-01-27,3.215,1878.5,EARLY_PROFIT_TARGET,304.99275,0.16236,16
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000087,short_straddle,DIA,2023-01-04,2023-02-01,30,2023-02-03,13.95,5256.199951,PRE_EXPIRY_CLOSE,65.192193,0.012403,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000088,put_credit_spread,DIA,2023-01-13,2023-02-10,28,2023-02-10,2.01,1199.0,EARLY_PROFIT_TARGET,199.0,0.165972,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000089,short_straddle,DIA,2023-02-01,2023-03-01,30,2023-03-03,11.2,5697.399902,PRE_EXPIRY_CLOSE,-57.614831,-0.010112,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000090,put_credit_spread,DIA,2023-02-10,2023-03-08,28,2023-03-10,2.855,1914.5,ITM_NEAR_EXPIRY_ROLL,-32.658,-0.017058,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000091,short_straddle,DIA,2023-03-01,2023-03-29,30,2023-03-31,13.0,5240.0,PRE_EXPIRY_CLOSE,-28.471431,-0.005433,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000092,put_credit_spread,DIA,2023-03-08,2023-04-06,29,2023-04-06,2.65,1635.0,EARLY_PROFIT_TARGET,263.0,0.160856,29
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000093,short_straddle,DIA,2023-03-29,2023-04-26,30,2023-04-28,12.05,5336.599731,PRE_EXPIRY_CLOSE,26.372503,0.004942,28
